what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257294751090
activated,editor,com.google.gwt.eclipse.core,1.1.2.v200910131704,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1257294776886
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1257294791478
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.format",1257294795734
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1257294797926
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257294799396
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257294811020
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257294812057
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257295053378
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257295054982
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257295056306
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1257295056333
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257295057725
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257295062157
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257295063272
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257295075624
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257295075688
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257295076450
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257295083244
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257295150886
activated,editor,com.google.gwt.eclipse.core,1.1.2.v200910131704,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1257295152086
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1257295153924
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257295162040
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257295171061
activated,editor,com.google.gwt.eclipse.core,1.1.2.v200910131704,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1257295175026
